id,train_test,pred_type,class,pred,prob_0,prob_1,knn,nbd_bal,lambda.1se,intvar3,var64,intvar8,var35,mainvar1,mainvar2,mainvar8,mainvar9,mainvar4,total_local_score,opp_class,opp_lambda.1se,opp_intvar3,opp_var64,opp_intvar8,opp_var35,opp_mainvar1,opp_mainvar2,opp_mainvar8,opp_mainvar9,opp_mainvar4,opp_total_local_score
1,train,FN,1,0,0.8104,0.1896,299,0.5151,4.37311093940142,-0.0013589254594302,0.0019911141302443,-0.00959161613127378,-0.0112056268792905,-0.0125523239331281,-0.0337519038593205,0.0447817930940412,0.0473874974051839,0.0546230629994539,0.0803230713664803,2,6.96322930218058,-0.000971254523544858,0.00119331135181279,-0.00642372271871642,-0.00758006495983197,-0.00819296398895,-0.0223061008932322,0.0294500276627359,0.0310223274392692,0.035983269379311,0.0521748287488534
2,train,TP,1,1,0.442,0.558,299,0.4883,3.72196174675737,0.0106903530231242,-0.0151991178396518,-0.0176751046654165,0.0186853538804715,0.0191181219935211,0.0239219909772218,-0.0338256197892761,-0.0501179639500375,-0.0568985780895431,-0.101300564459586,1,3.39131292333187,0.0115905949442234,-0.0166494470536529,-0.0190894373902706,0.0202859301782031,0.0206709893306168,0.0259942016842841,-0.0365622785070197,-0.0544722473056352,-0.06172737619939,-0.109959070318641
3,train,TP,1,1,0.3515,0.6485,299,0.4883,3.72255093539733,-0.00225041597355852,0.0103298732099229,0.0155620150976947,0.0179512633162725,0.0200684124597678,-0.0459604715506486,-0.0485868098820227,-0.0540015462184566,-0.0550922919707638,-0.141979971511792,1,9.43802346860162,-0.00150154762618537,0.00452321486345662,0.00646875945728469,0.00760213905904447,0.00859216364272615,-0.0201442792085559,-0.0208640780560145,-0.0234655659757187,-0.0239365924483533,-0.0627257862923158
4,train,TP,1,1,0.4443,0.5557,299,0.4883,4.48212405302027,0.00925948713048614,0.0125953837626849,0.0160906712304077,0.0166134985535765,-0.0351651223797929,-0.0408579102879639,0.0416831407845319,-0.0432634620619439,-0.0469166413526742,-0.0699609546206879,1,15.0222988579395,0.00300557421649168,0.00396433478562364,0.00524517380942669,0.00527850102248285,-0.0116366085167091,-0.0133538582604504,0.0136148621432095,-0.0139544286044637,-0.015538303176076,-0.0233747525804649
5,train,FN,1,0,0.6286,0.3714,299,0.5151,0.327695581158943,-0.0703812188919463,-0.0761166170627418,-0.110742080323019,0.12553472120943,-0.137267725339014,-0.170690247211474,0.277913187394427,0.30348619557701,0.310766498693155,0.452502714045827,2,0.628490717809466,-0.0469553755035424,-0.0504691132368514,-0.0734023455549005,0.0798441864756568,-0.0984179227241034,-0.126478055681326,0.198122979804845,0.216908525576127,0.217542659801091,0.316695538956996
6,train,FN,1,0,0.5154,0.4846,299,0.5151,2.53144264806481,9.17140211165729e-05,-0.0104040892097241,0.0133283746501528,0.0207519949583288,-0.0278423049424568,0.0434107040969292,0.0568784041243707,0.0773868149385803,0.0863073843574767,0.259908996994774,2,5.84796084535167,-0.000220101984583452,-0.00542449908231761,0.0068301997745237,0.00949540338670968,-0.0130032954084408,0.0215839792428429,0.0276859718185872,0.036204715589494,0.0414609836990555,0.124613357035871
7,train,FN,1,0,0.7089,0.2911,299,0.5151,3.62689168455109,0.00849841345735113,-0.0125899915368789,-0.0157193340292902,-0.0180320378771864,-0.0212995998754375,0.0441151668161876,0.0462520618587202,0.055735078348751,0.0559764472033218,0.142936204365539,2,6.95605277977516,0.00439403541896808,-0.00700804878258628,-0.0084276653622621,-0.0103215805669205,-0.0118689238615267,0.0246450643130676,0.026221117646146,0.0313999426789152,0.0315210542480569,0.0805549957318581
8,train,FN,1,0,0.8707,0.1293,299,0.5151,0.898593449275029,0.0250619501345327,-0.0369706520235732,0.0542249391501949,-0.0610015305604321,0.0735686630302828,0.0825158789098123,0.157235988103898,0.166859474960949,0.178441933843593,0.639936645549258,2,4.36950192628113,0.00229552841863648,-0.0106409145859537,0.0130523063693132,-0.0182915235703572,0.0245968476894754,0.0293806549694303,0.047180457787096,0.0474221532262757,0.0544310752780527,0.189426585581969
9,train,FN,1,0,0.8133,0.1867,299,0.5151,6.9817744450263,-0.000164863684837745,-0.00696076646730106,-0.00747491595199642,0.00816119586596524,0.0261554038999428,0.0261781837611161,0.0323839976775012,0.0327471300098717,0.0332143013505198,0.144239666460782,2,10.1293592898117,-0.000173337132354671,-0.0049017988482633,-0.0053443878559194,0.00566291577516115,0.0185826447232489,0.0186339103394775,0.0229760073183207,0.023128157661087,0.0234948198957043,0.102058931876462
10,train,FN,1,0,0.7142,0.2858,299,0.5151,3.07712021364355,-0.00780626772152952,0.00806282267227371,0.0105768126596791,-0.0149592855008619,0.0339664625980124,-0.0355782689480957,-0.0368327778628347,0.0701978903308127,0.0709915347464743,0.0986189229739306,2,0.329949514327538,-0.0125076764400735,-0.0709689994183134,0.0719324938776937,0.0912740332878477,0.12298195593862,-0.148310164752523,-0.155573083981983,0.317664851031798,0.375788563576074,0.59228197311914
