id,train_test,pred_type,class,pred,prob_0,prob_1,knn,nbd_bal,lambda.1se,intvar4,mainvar8,mainvar7,mainvar6,mainvar10,mainvar1,mainvar3,mainvar4,mainvar5,mainvar9,total_local_score,opp_class,opp_lambda.1se,opp_intvar4,opp_mainvar8,opp_mainvar7,opp_mainvar6,opp_mainvar10,opp_mainvar1,opp_mainvar3,opp_mainvar4,opp_mainvar5,opp_mainvar9,opp_total_local_score
1,train,TN,1,1,0.3166,0.6834,499,0.507,2.83605658603904,0.00117356942881583,0.0020485614677056,0.00518049586511098,0.011243384831293,-0.0186379520194193,-0.0226864281943257,-0.0467892939717393,0.050339682455759,0.0749007199105559,0.0788253132121491,0.135598052985905,0,1.6228958488037,0.00256139884054297,0.00361671536520649,0.00915259382667502,0.0180624679338282,-0.030551446738328,-0.0369720413051903,-0.0765552891935754,0.0805245582518402,0.121735292109565,0.127928394351715,0.21950264344228
2,train,TN,1,1,0.243,0.757,499,0.507,2.82841703824869,2.75838815446713e-05,0.0128911009582724,-0.0185357687201346,-0.034869744112666,0.0431221620914378,0.0533992646152841,0.0590233748061767,0.0609645033569837,-0.0616321064044378,0.0739264004787079,0.188316770951169,0,8.63757695353405,9.39236633388155e-05,0.00468137938692489,-0.0066534594634438,-0.0125969955485286,0.0152647302786253,0.0189746553114995,0.0211012815796508,0.0216737707145389,-0.0219291241618927,0.0260805656768983,0.0666907274376115
3,train,TN,1,1,0.2592,0.7408,499,0.507,4.38823578883701,0.00637298035751417,-0.00999640874857911,-0.0167516640168719,0.0225490274408667,-0.0315916776218591,0.0333374481499052,0.0362458263386741,0.0393566498536568,0.043250093808489,-0.0449833420345422,0.0777889335272536,0,0.902446091167937,0.0254381798763317,-0.0377142559764061,-0.0623389453719542,0.0837955024979405,-0.117185047988887,0.128008931197684,0.137371166114534,0.148618733048023,0.166606729691007,-0.171526003688231,0.301074989400041
4,train,TN,1,1,0.4343,0.5657,499,0.507,0.970558845078364,-0.00575354464330962,0.00944857775908861,0.0351616365194362,-0.0969366815683121,0.109669697111632,0.123967148942838,0.126567250508312,0.141760600670706,-0.156228432099158,0.186457678500161,0.474113931701394,0,1.86144476853279,-0.00352720378121293,0.00697968085776981,0.0215316055790539,-0.0584941844162259,0.065179494129966,0.0751967062507971,0.0759122432619272,0.0849155663047814,-0.0929174344885177,0.111011248782801,0.28578772248114
5,train,FP,1,0,0.7264,0.2736,499,0.495,5.52672410629985,-0.00819201593893806,0.0115631621255202,0.0202674169176928,0.0248943803789558,0.0272744361358726,0.0285853735626259,-0.0322654774845054,0.0355434208257645,0.0422850207693306,-0.0428817789810442,0.107073938311275,1,2.39238693225792,-0.0170649257059416,0.0247144542123838,0.0427084315929262,0.0534350913699852,0.0571230155938314,0.0603691636437418,-0.0683084824568497,0.0755151373866645,0.0903535113344077,-0.0916475315938963,0.227197865377253
6,train,TN,1,1,0.4086,0.5914,499,0.507,0.797700231030395,0.0162593590578149,-0.020582011813241,0.0376151290736522,-0.0549764567380343,-0.117585192913164,0.119549689473221,0.124282163847751,0.165525367813032,0.166303589248924,-0.222095280602463,0.214296356447495,0,1.67908252237407,0.00960580618252891,-0.0116981428696652,0.0224303351967877,-0.0322160796550718,-0.0657130524199862,0.0671696089201192,0.0675964486809134,0.0924931029110659,0.0929202877506446,-0.122830624731475,0.119757689965862
7,train,TN,1,1,0.5049,0.4951,499,0.507,1.65981423380621,0.0190008592353071,0.0227743306881022,0.0231775462126175,0.0477712470826466,-0.0534988077753865,0.0711612106809238,0.0833861180461358,-0.0921134254199836,0.0942770578948153,-0.127949020037815,0.0879871166073635,0,2.90057251231334,0.0111750600392069,0.0142431630994982,0.0148127075941641,0.0296934218084283,-0.0328539383868181,0.0441793240492726,0.0516137948934061,-0.0571606281032792,0.0581739645140869,-0.0785075689240826,0.055369300583883
8,train,TN,1,1,0.2283,0.7717,499,0.507,2.32495963917213,0.00652700969995538,0.0167929071659396,0.0176995310700994,-0.0508505791053431,0.0519467595851917,0.0553405872382038,0.0691586974569716,0.0752990656832344,0.0784870785140004,-0.0879867904857073,0.232414266822546,0,1.75874670507836,0.00787438846611548,0.0210753909228486,0.0223380068705943,-0.0644616308939752,0.0656435919224328,0.0704597005162653,0.0873615688861932,0.095451521916624,0.0995522108101071,-0.111247485712524,0.294047263704682
9,train,TN,1,1,0.1717,0.8283,499,0.507,0.638654018758528,0.00782049879983803,0.0260093111866616,-0.0400121413731836,0.103802544381415,-0.114747529902242,0.143872711275416,0.173315017275086,-0.175541314637051,0.184750360255716,0.247930030439625,0.557199487701283,0,1.77709274465391,0.00523752949024365,0.0105306879882757,-0.0152986456095853,0.0477178962646663,-0.0499407895825063,0.0672080727060546,0.0809081908871412,-0.0812095211824857,0.085563897618825,0.111610037567173,0.262327356147802
10,train,TN,1,1,0.1916,0.8084,499,0.507,1.13740577150367,-0.00421298613715909,0.029225639419938,0.0764104349155693,-0.0855662547584462,-0.0862359477914681,0.0983038551220108,0.124610980095116,0.12868882286964,0.144173643743428,0.161858111877442,0.587256299356071,0,3.47347288108539,-0.000983544611524047,0.0117673467051149,0.0297791417296538,-0.0331195464997941,-0.0335511055518478,0.0377554958075173,0.0484776729339476,0.0497185055237141,0.0560411591859918,0.0622351032772711,0.228120228500045
