id,train_test,pred_type,pred,prob_0,prob_1,mainvar8,intvar8,mainvar9,mainvar7,var14,var64,intvar7,var67
13,train,TN,1,0.3234,0.6766,-0.430944978112505,0.0775673456209809,0.126456236044181,-0.491166964039498,-0.00464929890594469,0.0177412761048855,0.0665893442074959,0.0611180167854436
14,train,TN,1,0.4294,0.5706,-0.300036442617609,0.0697954445298031,-0.154070478878788,-0.309213166155618,0.0224328130245717,0.0483184551927849,-0.0575606620801636,0.0512832360153623
25,train,TN,1,0.4854,0.5146,-0.114142001686012,0.0184809215902572,-0.0426676839814437,-0.122034760534011,0.00352673968869115,-0.00404021741807377,-0.011691673697893,0.0104398427524112
39,train,TN,1,0.3437,0.6563,-0.405739364024785,0.082871101659919,0.142239382191387,-0.52535412774733,-0.0350378764288375,0.0443900606714647,-0.0766114337704451,0.0682005080606859
40,train,TN,1,0.3716,0.6284,-0.0568569882007218,0.0169352965275031,-0.0351078379277011,-0.0837657794183177,0.00318509329250994,0.00582413865408317,0.0115918076352392,0.0104265688254973
45,train,TN,1,0.0148,0.9852,0.0253718898140756,0.0047683676763485,-0.0128280652481587,0.0263365773757682,0.000401758227273207,-0.00172362398590692,-0.00471196650280755,0.00191418180933827
46,train,TN,1,0.0194,0.9806,0.115522616825373,-0.0349995831945651,-0.0741569301331866,0.116158569264937,-0.00104692769230677,0.00727997026879408,0.0262457760943542,-0.0126068845443514
47,train,TN,1,0.0049,0.9951,0.252434765249634,0.112891259932818,-0.150449228045632,0.428816701424761,0.00136050506861558,0.0133581575668404,0.0973662835819336,0.0265711257746301
48,train,TN,1,4e-04,0.9996,0.152892196022468,-0.0255277776582324,-0.0912750734079432,0.179310801843419,0.00962082684003472,-0.0185783102693941,0.0196331015544545,0.0188428946205013
49,train,TN,1,0.0148,0.9852,-0.0434279377686658,-0.025277354218983,-0.0327726915299205,0.151714879559311,0.00276350262530888,0.0114309783529578,0.0236274993971769,0.0201937991174131
50,train,TN,1,0.0028,0.9972,0.364882591401579,-0.273846482572832,0.326678933846185,0.75570025040298,0.0165254523542936,0.0585938415939803,-0.105957745597839,0.0639971441258367
51,train,TN,1,0.0747,0.9253,0.199334883757909,-0.0448410820956775,0.123026315562033,-0.231405043095169,0.00200093362746351,0.00715903680055675,0.0389820172772422,0.0144474865078531
52,train,TN,1,7e-04,0.9993,0.0604040326969212,-0.0121085133314306,0.0488577996861828,0.0715952376986597,0.00226938441034282,0.00456820158250055,0.00714099340364458,0.00688999094756091
53,train,TN,1,0.0118,0.9882,0.0898446845240059,-0.0200953530704432,0.0213090500137272,0.105538484855986,0.00191044892444198,0.00250382756531432,0.0158880961733569,0.0155211129853672
54,train,TN,1,0.1239,0.8761,0.344121885884325,-0.11958211510924,0.235075936859885,-0.383502868402943,-0.000185562857593849,-0.0173544635057122,0.0464198723894528,0.0292718357215595
55,train,TN,1,0.0187,0.9813,0.191870390598909,-0.0326896121244587,0.123798495152903,0.231242937999049,-0.000526146299873325,0.00124679555903661,-0.0247645622612459,0.00593581675069614
56,train,TN,1,4e-04,0.9996,0.111770320858103,-0.0423432426368887,0.0904909839407058,0.130816458051017,0.00112952274783611,-0.00738367302395302,-0.0133675865770732,0.0132804414550887
57,train,TN,1,0.0341,0.9659,0.0879674269764871,0.0254558833175259,0.0698518732544709,-0.0891497447536204,-0.0010900398648101,-0.0135321640279601,0.0150885692117687,0.0143102015850675
58,train,TN,1,0.0335,0.9665,0.188017094248231,0.0406050689184449,-0.0973303353256807,0.203868691419929,0.00791863176223697,0.00837155716167113,0.0217271552306821,0.012932073696559
59,train,TN,1,0.0076,0.9924,0.199955327173149,-0.0757847362917654,0.151650962749925,0.20087997066714,0.000519455379162982,0.00722797470130406,0.0525714462524443,0.0270817069278162
60,train,TN,1,0.0282,0.9718,0.0787920503399142,0.0152807365255887,-0.0644723722121834,0.0901848554587553,0.000214947818367869,0.00286930633230292,0.00696214044265442,-0.00299638207401076
61,train,TN,1,0.0046,0.9954,0.179956255514433,-0.0697802732558667,0.130037867364,0.213259180513761,0.0197938867971351,0.0217483527225061,0.0493768053289412,-0.0382254375147537
62,train,TN,1,0.0075,0.9925,0.27081529661618,0.0882232997171599,-0.126862693668239,0.343655896825895,0.0419117691320679,0.0581284043495972,-0.0745922643594439,-0.0654261295799712
63,train,TN,1,0.0209,0.9791,0.156354025916461,0.0369152686142935,0.066372702736088,0.170470527457608,0.00245678644897105,0.0105231851027613,0.0310283442852742,0.0125061247731171
64,train,TN,1,0.0083,0.9917,0.404869766004742,-0.0716249092520191,-0.170570257716412,0.45919173010567,0.0228285670005181,0.024902407764226,-0.0550442698297522,0.0542815104520837
65,train,TN,1,9e-04,0.9991,0.0553910880623761,-0.0228985673340653,0.0501520772578301,0.0677894901106254,0.00204523376485602,0.00823687734890654,0.0146361533696041,-0.0119574309406822
66,train,TN,1,9e-04,0.9991,0.120782951558092,-0.0156219361920919,0.0253483136739322,0.145037230806574,0.00723351039281027,-0.0106512265889381,0.0137538353348884,-0.0110928289402816
67,train,TN,1,0.0024,0.9976,0.270119384929698,-0.0613098874289239,0.226706419917863,0.388689651111664,0.031151713670066,-0.0349712899059896,0.0587929515400953,0.0575410754733833
68,train,TN,1,0.0022,0.9978,0.367826909059607,0.0693739532752226,-0.131247928737366,0.435720838144826,0.00588911374519777,0.00724731875653556,-0.0570348798038922,0.0537347009996941
69,train,TN,1,0.0142,0.9858,0.158616149329267,0.103783971339311,-0.13287501654588,0.609371677527421,-0.0141507092231051,-0.029478767615359,-0.0815329890715494,0.056291682017013
70,train,TN,1,0.0068,0.9932,0.0522708098898825,-0.0168009320259239,0.0404281757568111,0.0586641775742746,0.00152194020956811,-0.00417090876626472,-0.00848626968546016,0.00419336689089327
71,train,TN,1,0.0025,0.9975,0.0879547859337285,0.0154806078341254,0.0230866902502105,0.0993655570648168,0.00613159514716365,0.0082412805692633,-0.0140119759775186,-0.00981658237439027
72,train,TN,1,0.0415,0.9585,0.20282960980377,-0.0733879498709383,-0.142945481005744,0.218510471562594,0.0111839792329471,0.0206991719882598,0.0387871580660422,-0.0223529020671095
73,train,TN,1,0.0212,0.9788,0.321508056678028,-0.0760222442706037,-0.195756602958903,0.531770638724693,-0.00100830586936247,0.0127965641391431,0.0476746344776087,0.0320701018713465
74,train,TN,1,0.0049,0.9951,0.41537010677273,-0.207655320426302,0.318094030206134,0.605756872096154,0.0251413513592822,-0.0419590600435832,-0.131876374231839,-0.0983547923229267
75,train,TN,1,0.0066,0.9934,0.172244135767641,-0.0310809687935291,-0.0950550176079318,0.282150510190747,0.0222929492023123,-0.0269858758050809,0.0309837790797884,0.0290009744409865
