id,train_test,pred_type,class,pred,prob_0,prob_1,knn,nbd_bal,lambda.1se,var14,var64,var67,intvar7,intvar8,mainvar9,mainvar8,mainvar7,total_local_score,opp_class,opp_lambda.1se,opp_var14,opp_var64,opp_var67,opp_intvar7,opp_intvar8,opp_mainvar9,opp_mainvar8,opp_mainvar7,opp_total_local_score
1,train,FP,1,0,0.7165,0.2835,299,0.4415,3.09033439353415,-0.00417140313880278,0.00549412937703998,0.00616133707928599,-0.00992449842173042,-0.0107539218796476,0.0453494163070881,0.0592923622434594,0.0650628163057869,0.15651023787248,1,2.81579760333107,-0.00440162519040807,0.00605433711455699,0.00676687942075921,-0.0108127694608906,-0.0116650966792315,0.0490070800968509,0.0643679821907245,0.0704331454972973,0.169749932989659
2,train,FP,1,0,0.5761,0.4239,299,0.4415,0.924677488816821,-0.00608189698839856,0.0132543408574401,-0.0180582988876275,-0.0243267226565802,0.0366934541593699,-0.05173532673126,0.105126369253379,0.228036215974075,0.282908134980398,1,0.842531689228284,-0.00686929159758144,0.014062153100721,-0.0196576381760036,-0.0261634525565298,0.0398816538182918,-0.0556707514753661,0.111497543834963,0.245244974471562,0.302325191420057
3,train,FP,1,0,0.5218,0.4782,299,0.4415,0.393878818477726,-0.0153401098853608,-0.0389677407061797,-0.0401555097554856,-0.0443231043885677,-0.0769423742889185,-0.092133149097246,0.259471254232795,0.351715153720274,0.30332441983131,1,0.474428431289368,-0.0163281406467971,-0.0351835307737275,-0.035700591245251,-0.0390311421512762,-0.0688715955611247,-0.0822047262242486,0.231073730900382,0.32019820888797,0.273952213185927
4,train,FP,1,0,0.7922,0.2078,299,0.4415,1.09163182981353,0.00200453246831573,0.0046626407120958,-0.0115012242628989,-0.019904497334118,-0.0362923392308266,0.0482923571301906,0.125566014300604,0.153423344387658,0.266250828171021,1,1.58377087421566,0.00065216790745991,0.00255100741548112,-0.00936930759178388,-0.0145248125716491,-0.0269161560336707,0.0356758365254475,0.0934471960747709,0.116977476493274,0.19849340821933
5,train,FP,1,0,0.7452,0.2548,299,0.4415,0.32974120155005,0.0125217613576204,-0.0607070032461683,0.0607077572310044,-0.0780143358522468,0.123599874872101,-0.221910940555619,0.318152099893454,0.367333648725089,0.521682862425235,1,1.33117092152792,-0.00367108957680724,0.0158185222405616,-0.0241430194163993,-0.0314422735221275,0.0434829525667252,-0.101277220274272,0.137189654963443,0.141255571721525,0.177213098702649
6,train,FP,1,0,0.5039,0.4961,299,0.4415,0.690955991886808,-0.0187238779528601,0.0200009421748241,-0.0305095527454869,-0.0409771013280428,0.0721942947408142,0.117430485006695,0.190492965831571,0.212509487743635,0.52241764347115,1,0.758323348105801,-0.0178787004904744,0.0185499938828904,-0.0284294934730467,-0.0393753459754167,0.0670249516667787,0.111695693836353,0.177964656006242,0.200880090877653,0.49043184633098
7,train,FP,1,0,0.5521,0.4479,299,0.4415,2.81144013962669,-5.09287975401898e-05,-0.00831896270720237,-0.0112989312109997,-0.0122348891335441,0.0173091722076406,0.046238327940961,0.0623797955564727,0.0872167121985087,0.181240296054297,1,0.764314810873658,-0.00124684731350835,-0.019715930362036,-0.0250323348276113,-0.030975071021754,0.0560168346246826,0.114374675960627,0.176962908759618,0.229772938353979,0.500157174173997
8,train,FP,1,0,0.5351,0.4649,299,0.4415,3.52462019597766,-0.00360356571958233,0.00531489281304137,-0.00725734357309599,-0.0099403700330378,-0.0112855715236409,-0.0321386258675702,-0.0665883614655289,0.0669993206169983,-0.0584996247524165,1,2.01691726209552,-0.00495009961454129,0.00915223607775668,-0.0117917221732913,-0.0166696238883378,-0.0186887001047669,-0.0509224957853494,-0.107121626362102,0.109607637868985,-0.0913843939816475
9,train,FP,1,0,0.7371,0.2629,299,0.4415,0.915085029964658,-0.0110253277693628,-0.0256444293383839,0.0321122993083675,-0.0348836046274809,0.0563722461403158,0.117903856546455,-0.128527344641223,0.158779716139544,0.165087411758232,1,1.00430469070739,-0.0106891062235609,-0.0239427819858293,0.0298360639781696,-0.0324551834262164,0.0520587326016936,0.110616266412439,-0.120925220387046,0.147617330214448,0.152116101184098
10,train,FP,1,0,0.6,0.4,299,0.4415,0.921254903465857,0.000318097464646812,0.0152321135442403,-0.0158133985962875,-0.0294560130924134,0.0591775362053006,0.0812861312679407,0.162655494906986,0.203867838397689,0.477267800098103,1,0.0680873891353878,-0.0294046796923921,-0.0683761231328201,0.0893426555574167,0.0962683981021907,0.136218414674195,0.288795897669897,0.564868146542423,0.708499214486177,1.78621192420709
11,train,FP,1,0,0.7234,0.2766,299,0.4415,1.82145766081518,-0.00996952163257129,-0.010153924671539,-0.0163862022574115,-0.0179276472819278,-0.0199360761744898,0.0708067024138446,0.119359441651839,0.131845949476866,0.24763872152461,1,0.788465539726887,-0.0143703349449869,-0.0195524817473107,-0.0323475228427953,-0.0341463542058124,-0.0431327150620309,0.125511324626743,0.227908424552649,0.241640048845811,0.451510389222266
12,train,FP,1,0,0.7938,0.2062,299,0.4415,0.359907168217917,0.0552402127523572,-0.0563936637523985,-0.0616063396634025,0.0715970681448079,0.116324240398911,0.184860199466869,0.2785868764344,0.366057500061967,0.954666093843511,1,0.187655895799872,-0.0840665376933633,0.0899299385091857,-0.0964219681617797,0.120249495192742,0.171852200132576,0.233460957766086,0.398975209224792,0.477959245367705,1.31193854033794
13,train,TN,1,1,0.3234,0.6766,299,0.5619,0.190169714298262,-0.00464929890594469,0.0177412761048855,0.0611180167854436,0.0665893442074959,0.0775673456209809,0.126456236044181,-0.430944978112505,-0.491166964039498,-0.577289022294962,0,0.229060094122258,-0.0047239921388439,0.0175658788662126,0.055855553376874,0.0615849865585742,0.0693820802320648,0.114006843975306,-0.404085852779832,-0.445582074703544,-0.535996576613189
14,train,TN,1,1,0.4294,0.5706,299,0.5619,0.518068732806983,0.0224328130245717,0.0483184551927849,0.0512832360153623,-0.0575606620801636,0.0697954445298031,-0.154070478878788,-0.300036442617609,-0.309213166155618,-0.629050800969658,0,1.9056535471741,0.00519992166526134,0.0159530562073955,-0.0170389772114694,0.0170746014390789,0.0254330404532461,-0.0675577283746018,-0.111602307487743,-0.128150923212874,-0.260689316521706
15,train,FP,1,0,0.616,0.384,299,0.4415,0.833654546537767,0.0013995993933936,-0.012510981986302,0.0192071144347979,-0.0401016094505224,0.0555394403866077,-0.140639146522774,0.160625353880489,0.226737147623258,0.270256917758948,1,3.06649802067749,0.000284380396315963,-0.00139983291555196,0.00541910160471096,-0.0154926609935134,0.0184911362625197,-0.0530188400612679,0.0552333611224335,0.0842741012458134,0.0937907466614603
16,train,FP,1,0,0.6803,0.3197,299,0.4415,0.357687772651475,0.0267060053032988,0.031087748570548,-0.0373231169909386,0.0380256240552849,-0.0400051095101983,0.103027862666458,0.269029594973546,0.286396519241163,0.676945128309161,1,0.752898475095363,0.0191363139708919,0.0210355029302223,0.0248862866356662,-0.0258839859322436,-0.0269628378264897,0.0628039065283071,0.165732765688306,0.193802836406862,0.434550788401522
17,train,FP,1,0,0.685,0.315,299,0.4415,2.80982940341997,-0.00429739356020219,0.0089882128567374,-0.0093187553128381,0.0113968780470805,0.0190684928093772,-0.0330262497033318,0.0600555993641216,0.0724027367663976,0.125269521267342,1,0.398286058157984,-0.00340173892289629,0.0438803504358482,-0.0495225676628405,0.0541170602096214,0.0944800300422588,-0.121789663822732,0.224025894888794,0.341151631351079,0.582940996519133
18,train,FP,1,0,0.7401,0.2599,299,0.4415,0.808338058645717,-0.0176252286315809,0.0227463082742085,0.0356440351388222,-0.038276561112151,0.0638476180246155,0.118389288886626,0.22309141873986,0.230057790647078,0.637874669967479,1,1.41259371429047,-0.0101494006213538,0.0120536491319899,0.0214693828233611,-0.0228393990881122,0.0403156021928749,0.0821428892698951,0.144781526914839,0.155991298325897,0.42376554894939
